section,title,media,reference,notes
RaidNeck,RaidNeck,RaidNeck.png,Brainstorm towards the design of a travel guitar with a body essentialized to its headless neck; an hexaphonic pickup for future work on playable modal synthesis of unheard chordophones.,
Inspirations,(Small-scale) Travel guitar,LapAxeTravelGuitar2.jpg,<a href='https://www.lapaxe.com'>LapAxe</a> available with scales of 55.5cm (22in) std tuning and 46cm (18in) minor third higher,
Inspirations,Neck as body (scenario),Nomad-HighRes.gif,"<a href='http://nomadyourmusic.com'>Nomad</a>, concept by Orit Dolev",
Inspirations,Neck as body (anthology),Ch-1-Log.png,"Les Paul, The Log",
Inspirations,Neck as body (mostly for tapping),StickModels.png,<a href='http://www.stick.com/instruments/'>Chapman Stick models</a>,
Inspirations,Neck as body (frets directly cast with neck),ChapmanStickRailboardTruss.jpg,<a href='http://www.stick.com/instruments/railboard/'>Chapman< Railboard Stick/a>,
Inspirations,Neck as body (full metal),Gittler-Bass-Back.jpg,Gittler Bass,
Inspirations,(Semi-fretless) Fingerboard to bridge continuity,Pagelli.jpg;PagelliFretboardToBridge.jpg,<a href='http://www.pagelli.com/'>Pagelli</a> Bass,
Inspirations,Headless per-string bridge,strandberg44.jpg,<a href='https://strandbergguitars.com'>Strandberg</a> Guitar Model #44,
Requirements,Neck as body fits in IATA-sized backpacks,,Max height: 54cm = 22in. Scale @ 20in?,
Requirements,Headless per-string bridge,ABM3801.png,To optimize scale length,
Requirements,Hexaphonic pickup,Nu-Multi-3D.jpg,<a href='https://www.cycfi-research.com'>Cycfi</a> Nu Multi (mag) or piezo in saddles,
Why Kopo?,First encounter,kopo_binome_1996.jpg,"<a href='http://www.kopo.fr'>Kopo</a> Binome, 1996, in Luthier et Guitares d’en France",
Why Kopo?,DIY guitar internship,KopoInternship.png,@ <a href='http://www.kopo.fr'>Kopo</a>,
Why Kopo?,Headless per-string bridge,KopoAliceG2Bridge.jpg,<a href='http://www.kopo.fr'>Kopo</a> Alice G2,
Why Kopo?,Ergonomic body: seated,KopoButterflyErgonomic19e930_e620493343824527b15b87e7095aad23~mv2_d_3072_2048_s_2.jpg,<a href='http://www.kopo.fr'>Kopo</a> Butterfly,
Why Kopo?,Ergonomic body: lightweight,KopoCelloSnakeIGP4879.jpg,<a href='http://www.kopo.fr'>Kopo</a> Cello Snake,
Why Kopo?,New materials: carbon,KopoDSCF5100.jpg,Carbon guitar body @ <a href='http://www.kopo.fr'>Kopo</a>,
Why Kopo?,Neck as body (almost),KopoDSCF5114.jpg,Carbon guitar neck @ <a href='http://www.kopo.fr'>Kopo</a>,
Why Kopo?,New materials: sustainable,KopoLocalWoods.png,<a href='http://www.kopo.fr'>Kopo</a>,
Future Iterations,Ergonomic body: detachable,YamahaSLG200S.jpg,Yamaha SLG200S Silent Guitar,
Future Iterations,Ergonomic body: detachable,Jamstik_EXT_Black_web.jpg;Jamstik_ext_emptyside_web.jpg,<a href='https://jamstik.com/'>Jamstik</a>,
Future Iterations,Ergonomic body: detachable,Jamstik_EXT_Knee_web.jpg;Jamstik_EXT_Standing_web.jpg,<a href='https://jamstik.com/'>Jamstik</a>,
Future Iterations,Ergonomic body: sparse,Chrysalis687cc52648df69ea3257cb945aaa326f.jpg,Chrysalis,
Future Iterations,Laser cut techniques (sawtooth frets),InstructablesFoldingUkulele.jpg;InstructablesFoldingUkuleleFrets.jpg,<a href='http://www.instructables.com/id/Constructing-the-Laser-cut-folding-ukulele/'>Folding Ukulele Instructable</a>,
Future Iterations,New materials: sustainable,woodoo-Bande-materiau-composite-bois-laboratoire_destructuration-selective-by-woodoo.jpg,<a href='https://woodoo.fr'>Woodoo</a> composite wood-based material,
Future Iterations,Pressure sensitive,Roli20170509_Seaboard_Block_0492.jpg,<a href='https://roli.com/products/blocks/seaboard-block'>Roli Seaboard Block</a>,
Future Iterations,Pressure sensitive,SenselMorphLayers.png,<a href='http://www.sensel.com'>Sensel</a> trackpad,
Future Iterations,Deformable force-feedback,Nomad02.jpeg,"<a href='http://nomadyourmusic.com'>Nomad</a>, concept by Orit Dolev",
About me,Deformed/fragile back,ChristianFrissonBaby.jpg,Growing issues,
About me,"Own a Kelstone: too heavy/long, only horizontal",kelstone.jpg,<a href='http://www.kelstone.be'>Kelstone</a> by Jan Van Kelst,
About me,Developed the Helmholtz GUI,Helmholtz.png,"collaboration between ENSIM + LAUM + Jean-Marie Fouilleul, presented at <a href='http://www.itemm.fr/jfis/'>Journ&eacute;es Facture Instrumentale &amp; Sciences</a> in 2005, pre-<a href='http://www.pafi.fr'>PAFI</a>",
About me,Wants more hexa/modal guitar,SofaAcousticGuitar.jpg,"Christian Frisson, Loïc Reboursière, Wen-Yang Chu, Otso Lähdeoja, John Anderson Mills III, Cécile Picard, Ao Shen, Todor Todoroff: Multimodal Guitar: Performance Toolbox and Study Workbench @ eNTERFACE 2009 (<a href='http://tcts.fpms.ac.be/publications/papers/2009/enterface09_multimodalguitar_projet3.pdf'>PDF</a>)",
